,token,count
658,fairmount,395
659,aam,395
660,ncaa,394
661,rep,394
662,main,394
663,concerning,391
664,wdli,390
665,weao,390
666,wggn,390
667,wmfd,390
668,woac,390
669,wqhs,390
670,wviz,390
671,wvpx,390
672,sked,390
673,democrat,390
674,wt,389
675,ncis,386
676,kare,385
677,void,384
678,was,384
679,yes,380
680,pr,380
681,renders,378
682,reservations,378
683,claiming,378
684,sequential,378
685,hollywood,378
686,appears,377
687,ca,376
688,et,374
689,wjxx,374
690,katowitz,372
691,mfsu,372
692,great,371
693,mundy,370
694,gannett,370
695,activity,369
696,l,368
697,fl,368
698,knxv,366
699,future,366
700,warrant,365
701,csi,365
702,telerepphiladelphia,364
703,modified,363
704,back,363
705,stars,363
706,kpho,363
707,ktvw,363
708,payable,363
709,chicago,363
710,priorities,362
711,evening,362
712,title,362
713,kasw,362
714,kdrx,362
715,kppx,362
716,ktvk,362
717,kusk,362
718,kutp,362
719,steve,361
720,york,360
721,wjimmy,360
722,talk,359
723,big,358
724,ie,357
725,bookend,356
726,lt,356
727,teresa,353
728,number,353
729,wkrc,352
730,sc,351
731,mnat,351
732,fx,350
733,difuria,348
734,coop,348
735,gmc,347
736,minutes,347
737,phonefax,346
738,mccreary,345
739,lf,345
740,px,345
741,ppm,343
742,wtlv,343
743,wstr,342
744,wxix,342
745,indicated,342
746,wcpo,341
747,wbqc,341
748,wcet,341
749,wcvn,341
750,wkon,341
751,wlwt,341
752,wpto,341
753,floor,340
754,nondiscrimination,340
755,nightlcinme,340
756,person,339
757,north,338
758,piggy,337
759,contracted,337
760,representative,336
761,dame,336
762,colorado,335
763,notre,335
764,politicalagy,335
765,shorr,334
766,mn,333
767,kdvr,332
768,brady,332
769,pregame,331
770,requested,331
771,productions,330
772,woc,330
773,blue,330
774,ratings,329
775,wtev,329
776,wjxt,328
777,waws,327
778,comment,326
779,wcwj,325
780,kusa,325
781,twthf,324
782,democratic,322
783,grimm,321
784,rotator,320
785,insider,319
786,select,319
787,chestnut,319
788,primetime,318
789,west,317
790,fairfax,316
791,revised,316
792,tot,314
793,j,314
794,pre,313
795,court,313
796,castle,311
797,nationalpolitical,311
798,acceptedstation,311
799,now,311
800,list,311
801,mtwthf,311
802,necwms,309
803,cost,309
804,kvmy,308
805,acceptedagencyadvertiser,307
806,unit,307
807,michael,307
808,np,307
809,svu,307
810,adjustments,307
811,advocacy,305
812,ef,305
813,union,304
814,hr,303
815,ddeleted,303
816,mike,302
817,accounts,298
818,acknowledgment,297
819,stationmarket,297
820,politicals,297
821,rcduration,297
822,margin,297
823,indicators,297
824,aadded,297
825,rrevised,297
826,mnew,297
827,cmcombined,297
828,monthyr,297
829,rock,296
830,clifford,296
831,south,294
832,blphi,294
833,mtuwthf,291
834,post,291
835,minds,291
836,criminal,289
837,wgal,288
838,attn,288
839,shown,287
840,wxyz,287
841,one,286
842,mi,286
843,taken,286
844,status,285
845,policy,285
846,mrn,284
847,mtwtfs,283
848,amer,283
849,cms,283
850,wood,282
851,wtsptv,282
852,rs,282
853,ask,282
854,practice,281
855,localtv,280
856,wtsp,280
857,wjbk,280
858,summary,279
859,aired,279
860,wpvi,279
861,thur,278
862,congressional,278
863,bradley,277
864,phone,277
865,rates,276
866,world,276
867,young,276
868,wakeup,275
869,delaware,274
870,kusatv,274
871,wwwnewscom,274
872,wwagners,273
873,tx,273
874,hours,273
875,poliss,272
876,remit,272
877,scheduled,272
878,buy,272
879,hills,271
880,discount,271
881,los,271
882,who,271
883,rotation,270
884,each,270
885,wkbd,269
886,knauer,269
887,wthf,267
888,greys,267
889,commercial,267
890,wdiv,267
891,waterfront,266
892,plpresidential,266
893,interest,266
894,tank,265
895,sched,265
896,magnus,265
897,wwj,265
898,bloods,265
899,pphl,264
900,apply,264
901,fairmont,264
902,nwews,263
903,fax,262
904,shark,260
905,snl,260
906,angeles,260
907,wdwb,259
908,brown,259
909,alexandra,258
910,communications,258
911,lincoln,258
912,wrc,258
913,wadl,258
914,wpxd,258
915,revenge,257
916,stagers,257
917,loop,257
918,degeneres,257
919,nso,253
920,wake,252
921,showing,252
922,family,251
923,chronicle,251
924,item,251
925,confirmed,250
926,wlpc,250
927,wtvs,250
928,hrp,249
929,eleven,249
930,headline,248
931,accepted,248
932,thf,247
933,newscm,246
934,harvey,246
935,tanya,246
936,company,246
937,americans,246
938,john,246
939,nebraska,245
940,conway,245
941,majority,243
942,winscott,243
943,federal,242
944,az,242
945,paid,241
946,mwtf,239
947,kaitie,239
948,ct,238
949,actn,238
950,fb,238
951,daypart,238
952,wwwnbcwashingtoncom,238
953,men,238
954,matthews,238
955,gd,237
956,update,236
957,linda,235
958,demos,235
959,wwacgnmers,235
960,added,234
961,hutton,234
962,factor,233
963,private,232
964,abar,232
965,weekday,231
966,risk,231
967,cia,230
968,bang,230
969,grovedale,230
970,kstc,229
971,associates,229
972,wcco,228
973,wftc,228
974,kmwb,227
975,kpxm,227
976,krwf,227
977,ksax,227
978,five,227
979,lake,226
980,you,225
981,books,222
982,h,222
983,ver,221
984,ecd,221
985,cppe,221
986,sentrcldrtrn,221
987,mwf,221
988,restore,219
989,revolution,219
990,mail,218
991,buylinesall,218
992,weeklyirregular,217
993,intended,217
994,msun,217
995,programming,217
996,mtw,216
997,pcan,215
998,once,214
999,restless,214
1000,wpmt,213
1001,il,213
1002,add,211
1003,hourcm,211
1004,tom,211
1005,nv,210
1006,protect,210
1007,wpvitv,210
1008,must,209
1009,dccc,208
1010,debate,208
1011,governor,207
1012,satsun,207
1013,petry,207
1014,client,207
1015,kstptv,206
1016,ksaxtv,206
1017,fire,206
1018,fund,205
1019,wcau,205
1020,americas,203
1021,kmcc,202
1022,twtfs,202
1023,ns,202
1024,official,201
1025,prosperity,201
1026,mofr,201
1027,cc,201
1028,mw,200
1029,less,200
1030,mtf,200
1031,tw,199
1032,tonite,199
1033,anjanette,198
1034,fixed,198
1035,wife,198
1036,pphi,197
1037,wzzm,197
1038,tmz,197
1039,chg,196
1040,remarks,196
1041,kob,196
1042,nrcc,196
1043,mod,195
1044,wants,195
1045,mth,195
1046,amounts,195
1047,melissa,194
1048,pcm,193
1049,bold,193
1050,scott,193
1051,please,192
1052,send,192
1053,ip,192
1054,half,192
1055,hawaii,191
1056,ttf,191
1057,kmgh,191
1058,brd,190
1059,ent,190
1060,cooper,189
1061,gmts,189
1062,programs,189
1063,ricki,189
1064,bloomberg,188
1065,mentalist,188
1066,ga,187
1067,viking,187
1068,ending,186
1069,v,186
1070,wagners,186
1071,created,186
1072,nd,186
1073,ftbl,186
1074,modern,186
1075,parenthood,185
1076,kmbc,185
1077,shw,185
1078,iscandidatepresidential,184
1079,srcp,184
1080,households,184
1081,elevencm,184
1082,hollywoodpp,183
1083,link,183
1084,boston,182
1085,eaws,182
1086,etev,182
1087,showpa,181
1088,public,181
1089,assembly,181
1090,mlb,181
1091,hcrm,181
1092,lancaster,180
1093,fcn,179
1094,anatomy,179
1095,afhv,179
1096,references,179
1097,starting,179
1098,wcnc,178
1099,ecr,178
1100,edge,178
1101,go,178
1102,twtfss,177
1103,twf,177
1104,gps,176
1105,call,176
1106,hereto,175
1107,series,175
1108,beautiful,174
1109,khdf,173
1110,bob,173
1111,sua,173
1112,shwnbc,173
1113,mosu,173
1114,kelv,172
1115,katz,172
1116,jpcallahan,172
1117,planning,172
1118,clark,171
1119,ballot,171
1120,saturdcamy,171
1121,ag,170
1122,inv,170
1123,whp,170
1124,agreements,170
1125,minute,170
1126,nh,169
1127,fooctmball,169
1128,leno,168
1129,presidential,168
1130,announcement,168
1131,wusa,167
1132,results,167
1133,redskins,167
1134,eden,166
1135,prairie,166
1136,wwwmyfoxtwincitiescom,166
1137,crimetime,165
1138,section,165
1139,pgm,165
1140,pph,164
1141,wjxxtv,164
1142,elections,164
1143,saturcdmay,164
1144,nite,163
1145,people,163
1146,tuwthf,163
1147,acmm,162
1148,form,161
1149,brad,161
1150,adid,161
1151,their,161
1152,theory,160
1153,invoices,160
1154,random,159
1155,grp,159
1156,applicable,159
1157,wlyh,159
1158,yr,159
1159,iscandidateus,159
1160,agenda,158
1161,msa,158
1162,bones,157
1163,ehp,157
1164,wttg,157
1165,ofa,157
1166,bala,157
1167,cynwyd,157
1168,zeligson,157
1169,kiml,157
1170,wbtv,156
1171,plc,156
1172,whtm,156
1173,noonp,156
1174,broadcasting,155
1175,updated,155
1176,phoenix,155
1177,miami,155
1178,wcvb,155
1179,follows,154
1180,soap,154
1181,dallas,154
1182,use,154
1183,wks,154
1184,needham,154
1185,condition,154
1186,agytrans,153
1187,target,153
1188,charges,153
1189,parties,153
1190,int,153
1191,wwwthebostonchannelcom,153
1192,tarka,153
1193,acc,152
1194,ad,152
1195,xx,152
1196,kmghca,152
1197,nj,151
1198,acting,151
1199,have,151
1200,browns,151
1201,monument,151
1202,wwwnbcphiladelphiacom,151
1203,columbia,150
1204,eyewitness,150
1205,lengthadid,150
1206,smith,150
1207,cma,149
1208,wccb,149
1209,can,148
1210,friends,148
1211,should,148
1212,prgm,148
1213,wmur,147
1214,fringe,147
1215,point,146
1216,jeff,146
1217,manchester,146
1218,wwwthewmurchannelcom,146
1219,magay,146
1220,allowed,146
1221,z,146
1222,eff,145
1223,abq,145
1224,facetofaceralston,145
1225,abcs,145
1226,mark,144
1227,dwts,144
1228,whptv,144
1229,en,144
1230,funniest,143
1231,dollars,143
1232,would,143
1233,production,143
1234,makegoods,143
1235,wtvt,143
1236,music,143
1237,kstp,143
1238,wotv,142
1239,nightside,142
1240,eyeopener,142
1241,verbal,142
1242,exix,141
1243,justin,141
1244,so,141
1245,reconciliation,141
1246,pres,141
1247,enterprises,140
1248,sundacym,140
1249,mfkmghca,140
1250,tues,140
1251,election,139
1252,furnished,139
1253,wth,139
1254,nascar,139
1255,americacm,139
1256,wvec,139
1257,newskmgh,139
1258,burns,138
1259,amt,138
1260,wvit,137
1261,authorized,137
1262,kvcw,137
1263,mtu,136
1264,dclocal,136
1265,cr,136
1266,pms,135
1267,julian,135
1268,pcc,135
1269,williams,135
1270,con,135
1271,wk,135
1272,loss,135
1273,adams,135
1274,wwwmyfoxdccom,135
1275,duration,135
1276,afternoon,135
1277,jeopwheel,135
1278,mcfa,135
1279,chason,135
1280,sen,134
1281,amrabc,134
1282,bb,134
1283,act,134
1284,wwmt,134
1285,wxmi,134
1286,votta,134
1287,issuespropositions,134
1288,matter,133
1289,march,133
1290,dscc,133
1291,ate,133
1292,barack,133
1293,wwwthewgalchannelcom,132
1294,anjie,132
1295,wxsp,132
1296,wzpx,132
1297,couric,132
1298,mfp,132
1299,blend,132
1300,la,132
1301,february,131
1302,advertiserobama,131
1303,nashville,131
1304,rapids,131
1305,wavy,131
1306,tdc,130
1307,performance,130
1308,mystery,130
1309,cup,130
1310,ktvd,129
1311,association,129
1312,third,129
1313,said,129
1314,noncommissionable,129
1315,reverse,129
1316,keuleman,129
1317,park,128
1318,based,128
1319,integral,128
1320,hl,128
1321,broadcasts,128
1322,daly,128
1323,aug,127
1324,practices,127
1325,acm,127
1326,purchase,127
1327,pls,127
1328,repcomrt,127
1329,ventura,126
1330,dur,126
1331,scandal,126
1332,footballnfl,126
1333,q,126
1334,lo,124
1335,casey,124
1336,wvbt,124
1337,preseason,123
1338,talent,123
1339,buyline,123
1340,bachelor,123
1341,thurs,123
1342,newscenter,123
1343,mttf,123
1344,startdate,122
1345,crime,122
1346,kawb,122
1347,kawe,122
1348,kcco,122
1349,kccw,122
1350,kftc,122
1351,ktca,122
1352,ktci,122
1353,kwcm,122
1354,behalf,121
1355,probst,121
1356,krqe,121
1357,approved,121
1358,cf,121
1359,wkndp,121
1360,elementary,121
1361,pmt,120
1362,located,120
1363,mc,120
1364,jacalyn,120
1365,palmiotto,120
1366,newsca,120
1367,pissue,120
1368,telerepwashington,119
1369,pmp,119
1370,airing,119
1371,zone,118
1372,sw,118
1373,mp,118
1374,nr,118
1375,koat,118
1376,mwt,118
1377,al,118
1378,davis,118
1379,kywtv,118
1380,ams,117
1381,kctv,117
1382,kcwe,117
1383,commissions,117
1384,quality,117
1385,self,117
1386,dma,117
1387,eligible,117
1388,kobr,117
1389,oversold,117
1390,reason,116
1391,showjay,116
1392,lenocm,116
1393,kshbtv,116
1394,kcpt,116
1395,kmci,116
1396,kpxe,116
1397,ksmo,116
1398,wdaf,116
1399,kshb,116
1400,certify,116
1401,final,116
1402,extended,116
1403,fbd,116
1404,lbd,116
1405,bm,116
1406,catg,116
1407,quantity,116
1408,installments,116
1409,ancillary,116
1410,kapx,116
1411,kasa,116
1412,kasy,116
1413,kazq,116
1414,kbei,116
1415,kbim,116
1416,kchf,116
1417,kenw,116
1418,khft,116
1419,kkto,116
1420,kluz,116
1421,knat,116
1422,knme,116
1423,kobf,116
1424,koct,116
1425,koft,116
1426,kovt,116
1427,krez,116
1428,krpv,116
1429,kupt,116
1430,kwbq,116
1431,wagncerms,116
1432,kmghaa,116
1433,everyday,115
1434,united,115
1435,newcsa,115
1436,pmm,114
1437,newsam,114
1438,awards,114
1439,delayed,114
1440,feud,114
1441,jralston,114
1442,certifies,114
1443,pam,114
1444,weekkday,114
1445,agencytcode,113
1446,ac,113
1447,pursuant,113
1448,satp,113
1449,boulevard,113
1450,aacm,113
1451,pmf,113
1452,mfkmgh,113
1453,bk,112
1454,paragraphs,112
1455,catv,112
1456,judyp,112
1457,fooctbmall,112
1458,newsnews,112
1459,enddate,111
1460,sinclair,111
1461,off,111
1462,contains,111
1463,estimated,111
1464,nflws,111
1465,wgnt,111
1466,whro,111
1467,wpen,111
1468,wpxv,111
1469,wtkr,111
1470,wtvz,111
1471,pad,111
1472,ckmiml,111
1473,cities,110
1474,jeopardywheel,110
1475,candidates,109
1476,twin,109
1477,ph,109
1478,actually,109
1479,qtr,109
1480,aaa,109
1481,csmun,109
1482,below,109
1483,ppcm,109
1484,randon,108
1485,cabl,108
1486,video,108
1487,wendy,107
1488,med,107
1489,atlanta,107
1490,washingtoneagle,107
1491,locust,106
1492,ralston,106
1493,card,106
1494,cmp,106
1495,polissue,106
1496,avail,105
1497,policies,105
1498,signed,105
1499,level,105
1500,tuf,105
1501,rnc,105
1502,null,105
1503,amazing,105
1504,hold,105
1505,lenopa,105
1506,ps,105
1507,resort,105
1508,merideth,105
1509,radow,105
1510,pli,105
1511,ohio,105
1512,pmw,104
1513,ew,104
1514,hh,104
1515,met,104
1516,broke,104
1517,golf,104
1518,ot,103
1519,millionairep,103
1520,mblm,103
1521,message,103
1522,accordance,103
1523,rc,103
1524,num,103
1525,buzz,103
1526,wnt,103
1527,ridge,102
1528,viewabc,102
1529,isissuenon,102
1530,there,102
1531,parameters,102
1532,attachments,102
1533,survivor,102
1534,wcarson,102
1535,dws,102
1536,columbus,102
1537,contain,101
1538,kansas,101
1539,result,101
1540,possible,101
1541,delivered,101
1542,scene,101
1543,ltc,101
1544,jax,101
1545,owned,100
1546,wfmytv,100
1547,wfmy,100
1548,unresolved,100
1549,ee,100
1550,reasonable,100
1551,initials,100
1552,abcgood,99
1553,tara,99
1554,these,99
1555,pwk,99
1556,bdcst,99
1557,dec,99
1558,according,99
1559,ordr,99
1560,than,98
1561,god,98
1562,event,98
1563,austin,98
1564,jamestown,98
1565,todaynbc,98
1566,nightsid,97
1567,connection,97
1568,then,97
1569,against,97
1570,generate,97
1571,sort,97
1572,ibstbal,97
1573,arizona,97
1574,living,97
1575,buylines,97
1576,rot,97
1577,kristen,97
1578,ferguson,96
1579,nwsam,96
1580,weekends,96
1581,during,96
1582,current,96
1583,states,96
1584,sherman,96
1585,partners,96
1586,january,96
1587,newspp,96
1588,ten,95
1589,gmj,95
1590,maxday,95
1591,where,95
1592,washburn,95
1593,oaks,95
1594,encore,95
1595,balance,95
1596,given,95
1597,receive,95
1598,damages,95
1599,cannot,95
1600,sundays,95
1601,hholds,95
1602,document,95
1603,welch,94
1604,eg,94
1605,payments,94
1606,control,94
1607,harmless,94
1608,being,94
1609,pmsa,94
1610,wfallon,94
1611,asap,94
1612,nelson,94
1613,treasurer,93
1614,changes,93
1615,purchased,93
1616,necessary,93
1617,radio,93
1618,cheryl,93
1619,mrnsatabc,92
1620,check,92
1621,into,92
1622,tp,92
1623,nick,92
1624,entity,92
1625,plpresidentialpoliticalplfederal,92
1626,michigan,92
1627,wfxt,92
1628,pmmf,92
1629,games,91
1630,placing,91
1631,advertisers,91
1632,similar,91
1633,stephanie,91
1634,hampton,91
1635,nwspm,90
1636,care,90
1637,represent,90
1638,disclosed,90
1639,closed,90
1640,spcl,90
1641,te,90
1642,deemed,90
1643,rights,90
1644,animal,90
1645,vote,90
1646,tel,90
1647,mtwf,90
1648,wjay,90
1649,alex,89
1650,story,89
1651,parent,89
1652,bridge,89
1653,had,89
1654,covered,89
1655,welte,89
1656,newcas,89
1657,kmgaha,89
1658,mandel,88
1659,wewsl,88
1660,nab,88
1661,y,88
1662,vikings,88
1663,exctrma,88
1664,dedham,88
1665,myfoxbostoncom,88
1666,ntlpol,88
1667,polgwtsph,88
1668,sub,88
1669,mtt,87
1670,charge,87
1671,additional,87
1672,pittsburgh,87
1673,pro,87
1674,addition,87
1675,waskie,87
1676,sherrod,87
1677,amaa,87
1678,content,87
1679,molly,87
1680,open,87
1681,vegacsm,87
1682,sap,86
1683,nt,86
1684,force,86
1685,later,86
1686,theorytwo,86
1687,rebate,86
1688,daysour,86
1689,digital,86
1690,regard,85
1691,avg,85
1692,tfn,85
1693,liberty,85
1694,equal,85
1695,costs,85
1696,cancel,85
1697,approval,85
1698,kennedy,85
1699,tampa,85
1700,how,85
1701,wtfss,85
1702,cid,85
1703,betsy,85
1704,knxvl,85
1705,rising,85
1706,seal,85
1707,glee,84
1708,craig,84
1709,copyright,84
1710,version,84
1711,detroit,84
1712,thereof,84
1713,breach,84
1714,failure,84
