file_id,title,contract_num,advertiser,gross_amount,flight_from,flight_to,issues,url
ef640e66-1f79-701f-61d7-e968acb9e3fc,45-House Majority PAC-ORDER-384678,384678,House Majority PAC,"$4,875.00",10/20/20,10/26/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/ef640e66-1f79-701f-61d7-e968acb9e3fc.pdf
988878c1-0908-63f0-8dcd-71381dcafecb,5-6-20 to 5-12-20 order,1019677,Pickering For Supreme Court,"$3,675.00",05/06/20,05/12/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/988878c1-0908-63f0-8dcd-71381dcafecb.pdf
f56e2fc1-7f41-68e3-bfe5-06176b9a2e8a,541602-1,541602-1,POL/M Bloomberg/D/Pres/US,"$2,690.00",01/25/20,01/31/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/f56e2fc1-7f41-68e3-bfe5-06176b9a2e8a.pdf
8e9ae894-95ce-2b46-58c4-bd4748bd8e60,543345,543345,POL/M Bloomberg/D/Pres/US,"$3,215.00",02/11/20,02/12/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/8e9ae894-95ce-2b46-58c4-bd4748bd8e60.pdf
5dfa0bd4-14ea-f8c6-5038-796ed60ef587,543936-1,543936-1,POL/M Bloomberg/D/Pres/US,"$5,795.00",02/15/20,02/21/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/5dfa0bd4-14ea-f8c6-5038-796ed60ef587.pdf
c6aecf68-18bb-c9f2-9118-7122b4f7ba8d,690167 April 1-7,690167,Daines/Republican/US Senate,"$2,730.00",04/01/20,04/07/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/c6aecf68-18bb-c9f2-9118-7122b4f7ba8d.pdf
7706e5a1-983e-e95e-3a71-ae4ca7d22ca5,945826-1 - Invoice,945826-1,Priorities USA Action,"$27,100.00",03/24/20,03/30/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/7706e5a1-983e-e95e-3a71-ae4ca7d22ca5.pdf
dfe6f0ca-e735-60ff-3630-7c92239ddae2,A20446-Invoices-053120,1472079,Women Vote,$140.00,4/27/2020,5/31/2020,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/dfe6f0ca-e735-60ff-3630-7c92239ddae2.pdf
4748ebc2-5694-3845-c655-9a7527cc2bcd,A20447-CONTRACT-566898-021820,566898,Priorities USA Actio,"$40,700.00",05/05/20,05/08/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/4748ebc2-5694-3845-c655-9a7527cc2bcd.pdf
64780ed0-180c-a77b-bfe0-478c2a48a3a0,A20447-CONTRACT-566900-021820,566900,Priorities USA Action,"$40,700.00",05/19/20,05/22/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/64780ed0-180c-a77b-bfe0-478c2a48a3a0.pdf
dd623c62-a5b5-69c0-66ae-688d568ec71b,A20447-CONTRACT-566928-021820,566928,Priorities USA Action (20447),"$40,700.00",06/23/20,06/26/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/dd623c62-a5b5-69c0-66ae-688d568ec71b.pdf
88fa6e33-408f-6ac2-a253-d30e32bce302,A20447-CONTRACT-571078-032320,571078,Priorities USA Action (20447),"$24,150.00",03/31/20,04/05/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/88fa6e33-408f-6ac2-a253-d30e32bce302.pdf
221bf71b-8b79-c855-5e99-cf1d2f90688d,A20678 573178 contract 040620,573178,House Majority PAC (20678),"$1,000.00",09/08/20,09/14/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/221bf71b-8b79-c855-5e99-cf1d2f90688d.pdf
1ca184c0-5063-3668-0400-fc24bf357c29,A21434-CONTRACT-571047-032320,571047,Senate Majority PAC,"$12,350.00",03/24/20,03/30/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/1ca184c0-5063-3668-0400-fc24bf357c29.pdf
2437f486-c8f2-72ad-1c75-4d45eedd57d2,A21434-CONTRACT-574333-041720,574333,SenateMajorityPAC(21434),"$3,000.00",04/20/20,05/11/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/2437f486-c8f2-72ad-1c75-4d45eedd57d2.pdf
c36558f8-a813-6de4-22ed-2dc7d85a234a,A21434-Contract-574069-041520,574069,Senate Majority PAC,"$118,875.00",10/20/20,10/26/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/c36558f8-a813-6de4-22ed-2dc7d85a234a.pdf
26f3961b-264a-e31e-e91e-c5b8211bed89,A23306-Contract-574056-041520,574056,NRSC IE (23306),"$34,900.00",06/23/20,06/29/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/26f3961b-264a-e31e-e91e-c5b8211bed89.pdf
73badb45-b62c-0c2e-1a2f-4b5fb4fda5b9,A27974-CONTRACT-575206-042920,575206,DSCC-IE (27974),"$13,400.00",10/06/20,20/12/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/73badb45-b62c-0c2e-1a2f-4b5fb4fda5b9.pdf
5bf05fd9-5be3-1dbc-6d63-47bf4935d0e8,A27974-Contract-575495-050120,575495,DSCC-IE (27974),$795.00,10/27/20,11/02/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/5bf05fd9-5be3-1dbc-6d63-47bf4935d0e8.pdf
b6f4a93b-5adc-bc4b-082e-c304e9e92cb0,A28553 573125 contract 040620,573125,Senate Leadership Fund (28553),"$116,250.00",10/06/20,10/12/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/b6f4a93b-5adc-bc4b-082e-c304e9e92cb0.pdf
685a2568-66ec-e3e0-27a1-78b56402b8cb,A28553-CONTRACT-574593-042120,574593,Senate Leadership Fund,"$10,555.00",09/15/20,09/21/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/685a2568-66ec-e3e0-27a1-78b56402b8cb.pdf
23be2cf1-1313-58c9-6660-56cd0bd9d642,A29447-CONTRACT-569503-030920,569503,Jill Karofsky for Judge (29447),"$20,650.00",03/31/20,04/06/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/23be2cf1-1313-58c9-6660-56cd0bd9d642.pdf
4ba7ecc1-0836-7099-da13-ec52a344cedf,A30959 573629 contract 040920,573629,Congressional Leadership Fund,"$52,550.00",09/23/20,09/29/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/4ba7ecc1-0836-7099-da13-ec52a344cedf.pdf
32e61a67-b489-82da-c166-fbfe368ab13d,A33289-CONTRACT-561614-010220,561614,Amy for America,"$9,100.00",01/03/20,01/04/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/32e61a67-b489-82da-c166-fbfe368ab13d.pdf
161648f7-00b2-bf14-373b-83436d07e037,A33462-CONTRACT-564310-012220,564310,Friends of Andrew Yang (33462),"$2,206.00",01/24/20,01/30/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/161648f7-00b2-bf14-373b-83436d07e037.pdf
65ebbb18-8a01-357a-94ce-bfa16723822e,A33483-CONTRACT-578367-060820,578367,AB PAC,"$16,825.00",06/09/20,06/15/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/65ebbb18-8a01-357a-94ce-bfa16723822e.pdf
cda5811d-3cf3-9c50-0941-28094bf9880f,A33528-CONTRACT-561214-123119,561214,Mike Bloomberg 2020 Inc (33528),"$38,600.00",01/01/20,01/08/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/cda5811d-3cf3-9c50-0941-28094bf9880f.pdf
6ff39a98-05d4-3e05-1434-72ba4b754086,A33528-CONTRACT-567344-022120,567344,Mike Bloomberg 2020 Inc,"$3,205.00",02/22/20,03/03/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/6ff39a98-05d4-3e05-1434-72ba4b754086.pdf
48310d93-0e1d-5377-b3e1-8bcdfaaa6422,A33528-CONTRACT565197-020720,565197,Mike Bloomberg 2020 Inc (33528),"$22,215.00",02/01/20,02/12/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/48310d93-0e1d-5377-b3e1-8bcdfaaa6422.pdf
99231788-a487-404b-aeba-3ea9dd2fe3b6,A33528-CONTRACT568768-030420,568768,Mike Bloomberg 2020 Inc,"$6,751.00",03/04/20,03/04/20,,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/99231788-a487-404b-aeba-3ea9dd2fe3b6.pdf
80c8cda6-6145-b887-1e0e-f41c1a414ae8,A33528-INVOICE-022320,,Mike Bloomberg 2020 Inc,,1/27/2020,2/23/2020,Token,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/80c8cda6-6145-b887-1e0e-f41c1a414ae8.pdf
dc51c967-cc2d-0d87-e2d3-69e4449f4a1d,A33528-INVOICE-022320-REV-022720,,Mike Bloomberg 2020 Inc ,,1/27/2020,2/23/2020,Token,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/dc51c967-cc2d-0d87-e2d3-69e4449f4a1d.pdf
22f953ae-569f-0641-53be-0a5fbdab16cc,A33706-INVOICE-012620,562816,Church for Wisconsin ,"$19,150.00",2/30/2019,1/26/2020,Token,https://fcc-updated-sample-2020.s3.us-east-2.amazonaws.com/22f953ae-569f-0641-53be-0a5fbdab16cc.pdf
