id	product_desc	advertiser	agency_name	order_revision	alt_order_no	estimate	flight_from	flight_to	original_date	revision_date	order_type	buying_contact	billing_contact	demographic	product_codes	priority	revenue_codes	primary_ae	sales_office	sales_region	billing_type	billing_calendar	billing_cycle	agency_commission	new_business_through	order_separation	advertiser_external_id	agency_external_id	page	total_pages	product_desc_original	advertiser_original
KSTP-TV_14069116501787	Mike McFadden for Senate	Mike McFadden for Senate	Periscope Marketing Communications	224001 		MM2014 	2014-08-04	2014-08-12	2014-08-01	2014-08-01	GENERAL 		921 Washington Ave S Minneapolis, MN 55415-1288 	A35-64	PL1 	99 	AGY, POL, CAND 	Local Account KSTP House 	MSP 	Local 	Cash	Broadcast	EOM/EOC 	15%		00:15:00 			1	5	Mike McFadden for Senate 	Mike McFadden for Senate 
KSTP-TV_14133153154074	Mike McFadden for Senate	Mike McFadden for Senate	Periscope Marketing Communications	229907 		N/A 	2014-10-15	2014-10-19	2014-10-14	2014-10-14	GENERAL 		921 Washington Ave S Minneapolis, MN 55415-1288 	A35-64	PL1 	99 	AGY, POL, CAND 	Local Account KSTP House 	MSP 	Local 	Cash	Broadcast	EOM/EOC 	15%		00:15:00 			1	2	Mike McFadden for Senate 	Mike McFadden for Senate 
KSTP-TV_14138360099202	Mike McFadden for Senate	Mike McFadden for Senate	Periscope Marketing Communications	230341 		N/A 	2014-10-21	2014-10-26	2014-10-20	2014-10-20	GENERAL 		921 Washington Ave S Minneapolis, MN 55415-1288 	A35-64	PL1 	99 	AGY, POL, CAND 	Local Account KSTP House 	MSP 	Local 	Cash	Broadcast	EOM/EOC 	15%		00:15:00 			1	2	Mike McFadden for Senate 	Mike McFadden for Senate 
KSTP-TV_14146998875541	Mike McFadden for Senate	Mike McFadden for Senate	Periscope Marketing Communications	231097 			2014-11-02	2014-11-02	2014-10-30	2014-10-30	GENERAL 		921 Washington Ave S Minneapolis, MN 55415-1288 	A35-64	PL1 	99 	AGY, POL, CAND 	Local Account KSTP House 	MSP 	Local 	Cash	Broadcast	EOM/EOC 	15%		00:15:00 			1	1	Mike McFadden for Senate 	Mike McFadden for Senate 
KTLA_14111706714861	Carr for Congress	Carr for Congress	Smart Media Group	616710 		919922 	2014-09-19	2014-09-22	2014-09-18	2014-09-19	GENERAL 		1427 Leslie Ave Alexandria, VA 22301 	A35+	PL1 	02 	AGY, POL, CAND 	Nick Welte 	TPHL 	National 	Cash	Broadcast	EOM/EOC 	15%	09/19/15 	00:15:00 			1	2	CARR FOR CONGRESS 	Carr for Congress 
KTLA_14111706768125	Carr for Congress	Carr for Congress	Smart Media Group	616729 		923929 	2014-09-23	2014-09-29	2014-09-18	2014-09-19	GENERAL 		1427 Leslie Ave Alexandria, VA 22301 	A35+	PL1 	02 	AGY, POL, CAND 	Nick Welte 	TPHL 	National 	Cash	Broadcast	EOM/EOC 	15%	09/19/15 	00:15:00 			1	2	CARR FOR CONGRESS 	Carr for Congress 
KTLA_14140371672367	Kashkari for Governor	Neel Kashkari I REP I Governor	Smart Media Group	16406 		C21C27 	2014-10-27	2014-10-27	2014-10-22	2014-10-22	GENERAL 		1427 Leslie Ave Alexandria, VA 22301 	A35+	Pl2.e.ii 	Default 	Agency, Political, Political-Non-PAC 	Nick Welte 	NPHL 	National 	Cash	Broadcast	EOM/EOC 	15%	05/06/15 	00:15:00 			1	2	KASHKARI FOR GOV 	Neel Kashkari / Rep / Governor 
KTLA_14168732517622	Hall for CA	Isadore Hall for California State Senate	Buying Time	30315 			2014-11-26	2014-12-01	2014-11-21	2014-11-24	GENERAL 	Cathie Herrick 	650 Massachusetts Ave NW Washington, DC 20001 	A25-54	PL2.h.i 	02 	Agency, Political, Political-Non-PAC 	Nick Welte 	NPHL 	National 	Cash	Broadcast	EOM/EOC 	15%	11/26/15 	00:15:00 			1	2	HALL FOR CA 11/25 	Isadore Hall for California SA-35 
KPTV_14147947945474	Senate	Sen Monica Wehby R OR NRSC	Strategic Media Services	3904 61 		- 					GENERAL 		Drive, Suite 400 North Ft. Myer 1911 VA Arlinqton, 22209 	A35+	Political-Cand-Senate 	PMT 	POL, PLC, SPL 	Jared Kelhart T-PHI 	National 		Cash Broadcast 				00:15:00 					1	SENATE 	Sen Monica Wehby R OR NRSC 
KPTV_14147948269283	Senate	Sen Monica Wehby R OR NRSC	Strategic Media Services	3904 61 		- 					GENERAL 		Drive, Suite 400 North Ft. Myer 1911 VA Arlinqton, 22209 	A35+	Political-Cand-Senate 	PMT 	POL, PLC, SPL 	Jared Kelhart T-PHI 	National 		Cash Broadcast 				00:15:00 					1	SENATE 	Sen Monica Wehby R OR NRSC 
KTTV_14135858564334	Sharon Quirk Silva for Assembly	Sharon Quirk Silva for Assembly	Milner Butcher Media Group	381896 		Quirk-Silva GM TV est 4 	2014-10-20	2014-10-26	2014-10-16	2014-10-16	GENERAL 	Lauren Iser 	11150 W. Olympic Blvd Los Angeles, CA 90064 	A50+	PL1g 	Political LUR 	AGY, POL, POL-CAND 	Stacy Kling 	L-LA 	Local 	Cash	Broadcast	EOM/EOC 	15%		00:20:00 			1	2	Sharon Quirk-Silva for Assembly (District 65) 	Sharon Quirk-Silva for Assembly (District 
KTTV_14168727127943	Hall for CA SD	Hall for CA SD	Buying Time	391503 		4056 	2014-11-25	2014-12-01	2014-11-21	2014-11-21	GENERAL 	Daniel Neckel 	650 Massachusetts Ave NW Washington, DC 20001 	A35+	PL1c 	Political LUR 	AGY, POL, POL-CAND 	Stacy Kling 	L-LA 	Local 	Cash	Broadcast	EOM/EOC 	15%		20:00:00 			1	2	Hall for CA SD-35 	Hall for CA SD-35 
WMYD_14141642109524	Zahra,Viviano for Justice	Zahra for Justice Viviano for Justice	Media Resource Group	434734 		. . . 	2014-10-20	2014-11-03	2014-10-01	2014-10-23	GENERAL 		2201 W. Plano Parkway Plano, TX 75075 	A35+	PL State Candidate 	P-2 	POL, POL, CAND 	Steve Kopicki 	WMYDN 	NAT 	Cash	Broadcast	EOM/EOC 	15%		00:20:00 			1	3	Zahra for Justice & Viviano for Justice 	Zahra for Justice & Viviano for Justice 
WTXF-TV_14072653931522	Wolf/Gov Campaign Week	Wolf Tom/Governor	Shorr Johnson Magnus	356524 			2014-08-06	2014-08-11	2014-08-04	2014-08-05	GENERAL 	Michael D'Ettore 	100 North 20th Street Philadelphia, PA 19103 	A35+	PL1e 	P-3 	AGY, POL, POL-OW 	Anthony Castaneda 	N-PHI 	National 	Cash	Broadcast	EOM/EOC 	15%		00:15:00 			1	2	WOLF/GOV CAMPAIGN: WEEK # 3 	Tom Wolf /PA/Governor-D 
WTXF-TV_14139134913945	Trivedi for Congress	M Trivedi PA Cong D	Canal Partners Media	383396 			2014-10-22	2014-10-26	2014-10-21	2014-10-21	GENERAL 		Donna McGinnis Email 25 Whitlock Place SW Marietta, GA 30064 	A35+	PL1d 	Political CDR 	AGY, POL, POL-CAND 	Heather Carlson 	N-ATL 	National 	Cash	Broadcast	EOM/EOC 	15%		00:15:00 			1	2	Trivedi for Congress / PA - D 	M. Trivedi / PA / Cong-D 
WTXF-TV_14146137484772	NJ Cd	Macarthur/NJ/Cong R	Political Communications Advertising	380469 		345 	2014-10-13	2014-10-19	2014-10-10	2014-10-10	GENERAL 	Jim McDaniels 	37 West 39th Street New York, NY 10018 	A35+	PL1 	Political CDR 	AGY, POL, POL-CAND 	Anthony Castaneda 	N-PHI 	National 	Cash	Broadcast	EOM/EOC 	15%		00:15:00 			1	3	NJ CD 3 / 345 	MacArthur/NJ/Cong-R 
WTXF-TV_14146137578504	NJ Cd	Macarthur/NJ/Cong R	Political Communications Advertising	384925 - 1 		345 	2014-10-27	2014-11-04	2014-10-24	2014-10-28	GENERAL 		37 West 39th Street New York, NY 10018 	A50+	PL1 	Political CDR 	AGY, POL, POL-CAND 	Anthony Castaneda 	N-PHI 	National 	Cash	Broadcast	EOM/EOC 	15%		00:15:00 			1	3	NJ CD 3 	MacArthur/NJ/Cong-R 
WTXF-TV_14146170359220	PA Cd Ryan Costello	Ryan Costello for Congress	Strategic Media Services	379907 - 2 		4123 	2014-10-10	2014-10-23	2014-10-09	2014-10-14	GENERAL 	Scott Franklin 	7669 Stagers Loop Delaware, OH 43015 	A35+	PL1d 	N/A 	AGY, POL, POL-CAND 	Anthony Castaneda 	N-PHI 	National 	Cash	Broadcast	EOM/EOC 	15%	04/07/15 	00:30:00 			1	2	PA CD 6 - RYAN COSTELLO 	Ryan Costello for Congress 
WTXF-TV_14150290357148		Lobiondo for Congress	SRCP Media	379764 		658 	2014-10-14	2014-10-20	2014-10-09	2014-10-13	GENERAL 	Betsy Vonderheid 	201 North Union Street Alexandria, VA 22314 	A35+	PL1d 	Political CDR 	AGY, POL, POL-CAND 	Anthony Castaneda 	N-PHI 	National 	Cash	Broadcast	EOM/EOC 	15%	04/05/15 	00:15:00 			1	2	86 / 214 / 658 	LoBiondo for Congress / NJ-R 
WTXF-TV_14150327172517	Tom McGarrigle	Tom McGarrigle PA Sen R	Strategic Media Services	385148 		4281 	2014-10-28	2014-11-03	2014-10-27	2014-10-27	GENERAL 		7669 Stagers Loop Delaware, OH 43015 	A50+	PL1c,PL1 	Political CDR 	AGY, POL, POL-CAND 	Anthony Castaneda 	N-PHI 	National 	Cash	Broadcast	EOM/EOC 	15%		00:15:00 			1	2	TOM McGARRIGLE 2014 	Tom McGarrigle / PA / Sen-R 
WVLT-TV_14059519998799	Ball/Senate/D	Ball Gordon	Sutton Reid Advertising	38523 - 2 			2014-06-30	2014-08-02	2014-07-21	2014-07-21	NORMAL 		266 S Front St Memphis, TN 38103 	HH	Candidate - National - Senate 	P-04 	AGY, POL, POL-CAND 	James Koch 	KNXN 	National 	Cash	Broadcast	EOM/EOC 	15%		00:15:00 	45681 	8918 	1	2	BALL/SENATE/D 	Ball Gordon 
WVLT-TV_14126113805775	Gordon Ball for Senate	Ball Gordon	Sutton Reid Advertising	76788 			2014-10-06	2014-10-19	2014-10-01	2014-10-06	NORMAL 		266 S Front St Memphis, TN 38103 	HH	Candidate - National - Senate 	P-04 	AGY, POL, POL-CAND 	James Koch 	KNXL 	Local 	Cash	Broadcast	EOM/EOC 	15%		00:15:00 	45681 	8918 	1	2	GORDON BALL FOR US SENATE 	Ball Gordon 
WVLT-TV_14139236480503	Gordon Ball for Senate	Ball Gordon	Sutton Reid Advertising	82396 			2014-10-21	2014-11-03	2014-10-20	2014-10-20	NORMAL 		266 S Front St Memphis, TN 38103 	HH	Candidate - National - Senate 	P-04 	AGY, POL, POL-CAND 	James Koch 	KNXL 	Local 	Cash	Broadcast	EOM/EOC 	15%		00:15:00 	45681 	8918 	1	2	GORDON BALL FOR US SENATE 	Ball Gordon 
KMIR-TV_14091797774239	Ruiz for Congress	Dr Ruiz/D/Congress	Behr Communications	479532 			2014-09-02	2014-09-08	2014-08-27	2014-08-27	GENERAL 		4421 Murieetta Ave Sherman Oaks, CA 91423 	A35+	PL Congressional 	P-04 	AGY-TRANS, POL CAND, POL 	KATZ LOS ANGELES 	KATLA 	NAT 	Cash	Broadcast	EOM/EOC 	15%		00:10:00 			1	4	RUIZ FOR CONGRESS 	Dr. Ruiz/D/Congress 
KMIR-TV_14099522135957	Ruiz for Congress	Dr Ruiz/D/Congress	Behr Communications	479571 			2014-09-09	2014-09-15	2014-09-05	2014-09-05	GENERAL 		4421 Murieetta Ave Sherman Oaks, CA 91423 	A35+	PL Congressional 	P-04 	AGY-TRANS, POL CAND, POL 	KATZ LOS ANGELES 	KATLA 	NAT 	Cash	Broadcast	EOM/EOC 	15%		00:10:00 			1	4	RUIZ FOR CONGRESS 	Dr. Ruiz/D/Congress 
KMIR-TV_14108172100107	Ruiz for Congress	Dr Ruiz/D/Congress	Behr Communications	479610 			2014-09-16	2014-09-22	2014-09-12	2014-09-12	GENERAL 		4421 Murieetta Ave Sherman Oaks, CA 91423 	A35+	PL Congressional 	P-03 	AGY-TRANS, POL CAND, POL 	KATZ LOS ANGELES 	KATLA 	NAT 	Cash	Broadcast	EOM/EOC 	15%		00:10:00 			1	4	RUIZ FOR CONGRESS 	Dr. Ruiz/D/Congress 
KMIR-TV_14114278525193	Amer Soc of Anesthes	Asa PAC	Buying Time	479522 		3366 	2014-09-23	2014-09-29	2014-08-27	2014-08-27	GENERAL 		650 Massachusetts Ave. NW Washington, DC 20001 	A35+	PL Issue 	P-02 	AGY-TRANS, ISSUE, POL 	KATZ PHILADELPHIA 	KATPA 	NAT 	Cash	Broadcast	EOM/EOC 	15%		00:15:00 			1	9	AMER SOC OF ANESTHES 	ASA PAC 
KMIR-TV_14117743592627	Amer Soc of Anesthes	Asa PAC	Buying Time	479677 		3632 	2014-09-23	2014-09-29	2014-09-26	2014-09-26	GENERAL 		650 Massachusetts Ave. NW Washington, DC 20001 	A35+	PL Issue 	P-02 	AGY-TRANS, ISSUE, POL 	KATZ PHILADELPHIA 	KATPA 	NAT 	Cash	Broadcast	EOM/EOC 	15%		00:15:00 			1	2	AMER SOC OF ANESTHES 	ASA PAC 
KMIR-TV_14120323925451	Ruiz for Congress	Dr Ruiz/D/Congress	Behr Communications	479681 			2014-09-30	2014-10-06	2014-09-25	2014-09-25	GENERAL 		4421 Murieetta Ave Sherman Oaks, CA 91423 	A35+	PL Congressional 	P-04 	AGY-TRANS, POL CAND, POL 	Kathi Thornton 	KATLA 	NAT 	Cash	Broadcast	EOM/EOC 	15%		00:10:00 			1	3	RUIZ FOR CONGRESS 	Dr. Ruiz/D/Congress 
KMIR-TV_14170283275309		House Majority PAC	Waterfront Strategies	479153 		2672 	2014-10-28	2014-11-03	2014-06-18	2014-10-29	GENERAL 		3050 K St NW Washington, DC 20007 	A35+	PL Issue 	P-03 	AGY-TRANS, ISSUE, POL 	KATZ PHILADELPHIA 	KATPA 	NAT 	Cash	Broadcast	EOM/EOC 	15%		00:10:00 			1	4	TV 	House Majority PAC 
KNDO_14049230802845		Dan Newhouse for Congress	Jamestown Associates	63927 			2014-07-08	2014-07-14	2014-07-03	2014-07-03	GENERAL 		3931 S Sherwood Forrest Blvd, Suite 2 Baton Rouge, LA 70816 	A50+	PL Candidate 	P-4 	AGY, POL, CAND 	Bob Cain 	K-PHI 	NAT 	Cash	Broadcast	EOM/EOC 	15%		00:20:00 			1	3	7/08-14 Flight 	POL/Dan Newhouse for Congress 
KNDU_14049229234893		Dan Newhouse for Congress	Jamestown Associates	63927 			2014-07-08	2014-07-14	2014-07-03	2014-07-03	GENERAL 		3931 S Sherwood Forrest Blvd, Suite 2 Baton Rouge, LA 70816 	A50+	PL Candidate 	P-4 	AGY, POL, CAND 	Bob Cain 	K-PHI 	NAT 	Cash	Broadcast	EOM/EOC 	15%		00:20:00 			1	3	7/08-14 Flight 	POL/Dan Newhouse for Congress 
KPTV_14109054694301		Kitzhaber for Governor Dem	Media Analysis	606204 	2014 	665 - 					GENERAL 	Jackson Marla 	PO Box 66490 OR Portland, 97290 	A35+	Political-Cand-Governor 	PMT 	PLC, POL LPL POL, 	Local KPTV KPTV Local House House KPTV 	Local 		Cash Broadcast 				00:15:00 					1	Gen Portland 	Kitzhaber Governor For 
KPTV_14139243397462		Richardson for Governor	Cappelli Miles	01 61 31 	1 	578 - 					GENERAL 	Price Darcey 	Anne Meile Phil Point Drive, Suite 300 Two Center OR Oswego, 97035 Lake 	A35+	Political-Cand-Governor 	PMT 	PLC, POL, GPL 	Local Local KPTV KPTV House House 	KPTV 	Local 	Cash Broadcast 				00:15:00 					1	Flight 10122-11I3l14 	Governor Richardson For 
WAFB_14093439113772	DSCC	DSCC	Great American Media	1177821 	07320767 	3395 	2014-09-02	2014-09-08	2014-08-29	2014-08-29	Political 		3050 K Street NW Washington, DC 20007 	A35+	PL20 	P1 	Agency, Political, Pol-Issue 	Frank LeBlanc 	H-DC 	National 	Cash	Broadcast	EOM/EOC 	15%		00:15:00 			1	4	DSCC-IE 	ISS/DSCC IE 
KAAL_14080199804725	Mark Dayton for Governor	Mark Dayton for a Better Minnesota	Greer Margolis Mitchell and Burns	224593 	07308123 	3290 	2014-09-23	2014-09-29	2014-08-13	2014-08-13	GENERAL 		1010 Wisconsin Ave NW Washington, DC 20007-3674 	A35+	PL1 	99 	AGY, POL, CAND 	Andrew Solano 	H-DC 	National 	Cash	Broadcast	EOM/EOC 	15%		00:15:00 			1	3	DAYTON FOR GOVERNOR 	Mark Dayton for a Better Minnesota 
KAAL_14080200308649	Mark Dayton for Governor	Mark Dayton for a Better Minnesota	Greer Margolis Mitchell and Burns	224669 	07308216 	3294 	2014-10-21	2014-10-27	2014-08-13	2014-08-13	GENERAL 		1010 Wisconsin Ave NW Washington, DC 20007-3674 	A35+	PL1 	99 	AGY, POL, CAND 	Andrew Solano 	H-DC 	National 	Cash	Broadcast	EOM/EOC 	15%		00:00:00 			1	4	DAYTON FOR GOVERNOR 	Mark Dayton for a Better Minnesota 
KAAL_14080200006674	Mark Dayton for Governor	Mark Dayton for a Better Minnesota	Greer Margolis Mitchell and Burns	224611 	07308151 	3291 	2014-09-30	2014-10-06	2014-08-13	2014-08-13	GENERAL 		1010 Wisconsin Ave NW Washington, DC 20007-3674 	A35+	PL1 	99 	AGY, POL, CAND 	Andrew Solano 	H-DC 	National 	Cash	Broadcast	EOM/EOC 	15%		00:15:00 			1	3	DAYTON FOR GOVERNOR 	Mark Dayton for a Better Minnesota 
KAAL_14080200105030	Mark Dayton for Governor	Mark Dayton for a Better Minnesota	Greer Margolis Mitchell and Burns	224662 	07308173 	3292 	2014-10-07	2014-10-13	2014-08-13	2014-08-13	GENERAL 		1010 Wisconsin Ave NW Washington, DC 20007-3674 	A35+	PL1 	99 	AGY, POL, CAND 	Andrew Solano 	H-DC 	National 	Cash	Broadcast	EOM/EOC 	15%		00:00:00 			1	3	DAYTON FOR GOVERNOR 	Mark Dayton for a Better Minnesota 
KAAL_14138339283949	AL Franken for Senate	AL Franken for Senate	Shorr Johnson Magnus	230320 	07456377 		2014-10-21	2014-10-27	2014-10-20	2014-10-20	GENERAL 		100 N. 20th St. Suite 201 Philadelphia, PA 19103 	A35+	PL1 	3 	AGY, POL, CAND 	Andrew Solano 	H-DC 	National 	Cash	Broadcast	EOM/EOC 	15%		00:00:00 			1	3	FRANKEN FOR SENATE 	Franken for Senate 
KARE_14012243139609	Franken WK	AL Franken for Senate	Shorr Johnson Magnus	881112 	07190768 	FRANKEN 	2014-05-29	2014-06-02	2014-05-27	2014-05-27	Political 		1831 Chestnut St. #602 Philadelphia, PA 19103 	A35+	PL-Federal 	P-2 	AGY, GEN, GEN 	Jim Quinn 	T-PHI 	NAT 	Cash	Broadcast	EOM/EOC 	15%		00:15:00 			1	2	FRANKEN WK4 30S 2014 	Al Franken for Senate 
KAAL_14132053727763		MN Action Network	McClung Communications and Public Relations	229506 			2014-10-13	2014-10-19	2014-10-09	2014-10-09	GENERAL 		401 Robert Street N. Ste. 150 Saint Paul, MN 55101 	A35+	PL2 	99 	AGY, POL, ISS 	Chris Mans 	RST 	Local 	Cash	Broadcast	EOM/EOC 	15%		00:15:00 			1	2		MN Action Network 
KESQ-TV_14139316748406	Ruiz	Poli/R Ruiz/D/Con/CA	Behr Communications	238698 	07446728 		2014-10-21	2014-10-27	2014-10-17	2014-10-21	GENERAL 		4421 Murietta Ave Sherman Oaks, CA 91423 	A35+	PL01 	P-4 	AGY, POL, CAND 	Mary McCue 	TR-LA 	NAT 	Cash	Broadcast	EOM/EOC 	15%		00:15:00 			1	5	RUIZ 	POLI/R RUIZ/D/CON/CA 
KEVN-TV_14128708702656		Pressler for Senate	Broke Free Productions	4615 		09/16-09/22 2014 	2014-09-16	2014-09-22	2014-09-12	2014-09-12	GENERAL 		PO Box 89101 Sioux Falls, SD 57109 	A35+	Candidates 	P-01 	03 POL-R, AGY, POL-CAND 	Regional Political 	POL 	Pol 	Cash	Broadcast	EOM/EOC 	15%		00:20:00 			1	2	General Election 2014 	Pressler for U.S. Senate 
KEVN-TV_14128708712012		Pressler for Senate	Broke Free Productions	4699 		09/23-09/29 2014 	2014-09-23	2014-09-29	2014-09-25	2014-09-25	GENERAL 		PO Box 89101 Sioux Falls, SD 57109 	A35+	Candidates 	P-01 	03 POL-R, AGY, POL-CAND 	Regional Political 	POL 	Pol 	Cash	Broadcast	EOM/EOC 	15%		00:20:00 			1	2	General Election 2014 	Pressler for U.S. Senate 
KEVN-TV_14128710015405	General	Rounds for Senate	Lawrence and Schiller	4614 		3020 - MR14 	2014-09-15	2014-09-21	2014-09-12	2014-09-12	GENERAL 	Maggie Saugstad 	3932 S Willow Ave Sioux Falls, SD 57105 	A35+	Candidates 	P-01 	03 POL-R, AGY, POL-CAND 	Regional Political 	POL 	Pol 	Cash	Broadcast	EOM/EOC 	15%		00:20:00 			1	2	650 - General 	Rounds for U.S. Senate 
KEVN-TV_14128710038056	General	Rounds for Senate	Lawrence and Schiller	4782 		3085 MR14 	2014-10-06	2014-10-12	2014-10-03	2014-10-03	GENERAL 	Maggie Saugstad 	3932 S Willow Ave Sioux Falls, SD 57105 	A35+	Candidates 	P-01 	03 POL-R, AGY, POL-CAND 	Regional Political 	POL 	Pol 	Cash	Broadcast	EOM/EOC 	15%		00:20:00 			1	2	650 - GENERAL 	Rounds for U.S. Senate 
KEVN-TV_14128711819830	General	Weiland for U S Senate	Craft and Associates	4668 		Wk 9/15 	2014-09-15	2014-09-17	2014-09-23	2014-09-23	GENERAL 	Terry Craft 	PO Box 88337 Sioux Falls, SD 57109 	A35-64	Candidates 	P-01 	03 POL-R, AGY, POL-CAND 	Regional Political 	POL 	Pol 	Cash	Broadcast	EOM/EOC 	15%		00:20:00 			1	1	General 2014 	Weiland for U.S. Senate 
KEVN-TV_14128722775035		Every Voice Action	Buying Time	4653 		3511 	2014-09-18	2014-09-24	2014-09-17	2014-09-17	GENERAL 		650 Massachusetts Ave NW, Suite 210 Washington, DC 20001 	A35+	Issues/Propositions 	P-01 	05 POL-N, AGY, POL-ISS 	National Political 	POL 	Pol 	Cash	Broadcast	EOM/EOC 	15%		00:20:00 			1	2	POLITICAL ISSUE 	Every Voice Action 
KEVN-TV_14128722812058	Every Voice Action Fund	Every Voice Action	Buying Time	4802 	10433798 	3660 	2014-10-02	2014-10-08	2014-10-08	2014-10-08	GENERAL 		650 Massachusetts Ave NW, Suite 210 Washington, DC 20001 	A35+	Issues/Propositions 	P-01 	05 POL-N, AGY, POL-ISS 	National Political 	POL 	Pol 	Cash	Broadcast	EOM/EOC 	15%		00:20:00 			1	6	EVERY VOICE ACTION F 	Every Voice Action 
KEVN-TV_14128723718893		Sdascp - Yes on 17	Media One	4591 		WK OF 09/08/14 	2014-09-01	2014-11-04	2014-09-10	2014-10-01	GENERAL 	Anne Eidem 	3918 South Western Ave Sioux Falls, SD 57105 	A35+	Issues/Propositions 	P-01 	03 POL-R, AGY, POL-ISS 	Regional Political 	POL 	Pol 	Cash	Broadcast	EOM/EOC 	15%		00:15:00 			1	2	ISSUE 2014 	SDASCP - Yes on 17 
